package_version	package	version	type	url
AICcmodavg_2.1-1	AICcmodavg	2.1-1	attached_package	https://cran.rstudio.com/src/contrib/Archive/AICcmodavg/AICcmodavg_2.1-1.tar.gz
MASS_7.3-47	MASS	7.3-47	attached_package	https://cran.rstudio.com/src/contrib/Archive/MASS/MASS_7.3-47.tar.gz
Matrix_1.2-11	Matrix	1.2-11	attached_package	https://cran.rstudio.com/src/contrib/Archive/Matrix/Matrix_1.2-11.tar.gz
MuMIn_1.40.0	MuMIn	1.40.0	attached_package	https://cran.rstudio.com/src/contrib/Archive/MuMIn/MuMIn_1.40.0.tar.gz
Rcpp_0.12.13	Rcpp	0.12.13	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/Rcpp/Rcpp_0.12.13.tar.gz
TH.data_1.0-8	TH.data	1.0-8	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/TH.data/TH.data_1.0-8.tar.gz
VGAM_1.0-4	VGAM	1.0-4	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/VGAM/VGAM_1.0-4.tar.gz
abind_1.4-5	abind	1.4-5	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/abind/abind_1.4-5.tar.gz
arm_1.9-3	arm	1.9-3	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/arm/arm_1.9-3.tar.gz
blmeco_1.1	blmeco	1.1	attached_package	https://cran.rstudio.com/src/contrib/Archive/blmeco/blmeco_1.1.tar.gz
coda_0.19-1	coda	0.19-1	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/coda/coda_0.19-1.tar.gz
codetools_0.2-15	codetools	0.2-15	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/codetools/codetools_0.2-15.tar.gz
compiler_3.4.2	compiler	3.4.2	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/compiler/compiler_3.4.2.tar.gz
data.table_1.10.4	data.table	1.10.4	attached_package	https://cran.rstudio.com/src/contrib/Archive/data.table/data.table_1.10.4.tar.gz
estimability_1.2	estimability	1.2	attached_package	https://cran.rstudio.com/src/contrib/Archive/estimability/estimability_1.2.tar.gz
grid_3.4.2	grid	3.4.2	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/grid/grid_3.4.2.tar.gz
lattice_0.20-35	lattice	0.20-35	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/lattice/lattice_0.20-35.tar.gz
lme4_1.1-14	lme4	1.1-14	attached_package	https://cran.rstudio.com/src/contrib/Archive/lme4/lme4_1.1-14.tar.gz
lsmeans_2.27-2	lsmeans	2.27-2	attached_package	https://cran.rstudio.com/src/contrib/Archive/lsmeans/lsmeans_2.27-2.tar.gz
minqa_1.2.4	minqa	1.2.4	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/minqa/minqa_1.2.4.tar.gz
multcomp_1.4-7	multcomp	1.4-7	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/multcomp/multcomp_1.4-7.tar.gz
mvtnorm_1.0-6	mvtnorm	1.0-6	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/mvtnorm/mvtnorm_1.0-6.tar.gz
nlme_3.1-131	nlme	3.1-131	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/nlme/nlme_3.1-131.tar.gz
nloptr_1.0.4	nloptr	1.0.4	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/nloptr/nloptr_1.0.4.tar.gz
pbkrtest_0.4-7	pbkrtest	0.4-7	attached_package	https://cran.rstudio.com/src/contrib/Archive/pbkrtest/pbkrtest_0.4-7.tar.gz
plyr_1.8.4	plyr	1.8.4	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/plyr/plyr_1.8.4.tar.gz
raster_2.5-8	raster	2.5-8	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/raster/raster_2.5-8.tar.gz
reshape_0.8.7	reshape	0.8.7	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/reshape/reshape_0.8.7.tar.gz
sandwich_2.4-0	sandwich	2.4-0	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/sandwich/sandwich_2.4-0.tar.gz
sp_1.2-5	sp	1.2-5	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/sp/sp_1.2-5.tar.gz
splines_3.4.2	splines	3.4.2	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/splines/splines_3.4.2.tar.gz
stats4_3.4.2	stats4	3.4.2	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/stats4/stats4_3.4.2.tar.gz
survival_2.41-3	survival	2.41-3	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/survival/survival_2.41-3.tar.gz
tools_3.4.2	tools	3.4.2	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/tools/tools_3.4.2.tar.gz
unmarked_0.12-2	unmarked	0.12-2	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/unmarked/unmarked_0.12-2.tar.gz
xtable_1.8-2	xtable	1.8-2	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/xtable/xtable_1.8-2.tar.gz
zoo_1.8-0	zoo	1.8-0	loaded_not_attached	https://cran.rstudio.com/src/contrib/Archive/zoo/zoo_1.8-0.tar.gz
